regulator,Nb_of_Metabolite,List_of_Metabolites
Nac,3,Guanine;N2-Succinyl-glutamate;cAMP
NadR,14,Glycolaldehyde;Isopentenyl diphosphate / Dimethylallyl diphosphate;D-Pantothenic acid;gamma-Glutamyl-cysteine;Dihydropteroate;Riboflavin;Fumarate;Dihydroxyacetone-P;NADH;NADPH;ADP;ATP;Coenzyme A;Pyridoxamine 5-Phosphate
NagC,1,Pentose-P
NanR,1,N-Acetyl-D-Glucosamine-P
NarL,NA,NA
NarP,NA,NA
NhaR,NA,NA
NikR,NA,NA
NorR,NA,NA
NrdR,10,Deoxyribose-P;Guanine;Hypoxanthine;UDP;Cytidine;cAMP;ADP;ATP;GTP;Inosine diphosphate
NsrR,31,"Glycolaldehyde;a-Ketoglutaric acid;Deoxyribose-P;Pentose-P;Isopentenyl diphosphate / Dimethylallyl diphosphate;Udp-Glucose;UDP-N-acetyl-D-Glucosamine;Glutamic acid;Adenosine;Hypoxanthine;D-Pantothenic acid;gamma-Glutamyl-cysteine;Dihydropteroate;Riboflavin;Phosphoenolpyruvate;Dihydroxyacetone-P;Glycerol 3-Phosphate;Fructose-1,6-Bisphosphate;UDP;NADH;NADPH;Acetyl-CoA;CMP;UMP;AMP;ADP;ATP;Coenzyme A;O-Acetyl-Serine;Pyridoxamine 5-Phosphate;Inosine diphosphate"
NtrC,NA,NA
OmpR,NA,NA
OxyR,23,Glycolaldehyde;Deoxyribose-P;Isopentenyl diphosphate / Dimethylallyl diphosphate;Homoserine;Adenosine;Hypoxanthine;D-Pantothenic acid;gamma-Glutamyl-cysteine;Dihydropteroate;Riboflavin;UDP;NADH;NADPH;CMP;ADP;ATP;Coenzyme A;O-Acetyl-Serine;O-Succinyl-homoserine;Pyridoxamine 5-Phosphate;S-Adenosyl-homocysteine;S-Adenosylmethionine;Inosine diphosphate
PaaX,3,NADPH;Succinyl-CoA;Propionyl-CoA
PdhR,28,"Glycolaldehyde;Malate;a-Ketoglutaric acid;Pentose-P;Isopentenyl diphosphate / Dimethylallyl diphosphate;Udp-Glucose;UDP-N-acetyl-D-Glucosamine;D-Pantothenic acid;gamma-Glutamyl-cysteine;Dihydropteroate;Riboflavin;Fumarate;Phosphoenolpyruvate;Dihydroxyacetone-P;Glycerol 3-Phosphate;Citrate;Fructose-1,6-Bisphosphate;UDP;NADH;NADPH;Acetyl-CoA;Succinyl-CoA;UMP;ADP;ATP;Coenzyme A;Pyridoxamine 5-Phosphate;5-Methyltetrahydrofolic acid"
PepA,NA,NA
PgrR,NA,NA
PhoB,NA,NA
PhoP,NA,NA
DksA,NA,NA
PrpR,NA,NA
PspF,NA,NA
