Bnb,MEANenv,Venv,SDenv,Essentiality,GlobalEssentiality,RMenv,SSenv,DMenv
b2134,5.987466349078583,0.1554722456951581,0.39429969020423805,Nonessential,Nonessential,0.7224263296202208,0.7381949537050494,-0.34389526350081134
b3599,5.9903694029053245,0.5900409972824501,0.7681412612810551,Nonessential,Nonessential,0.7224263296202208,0.737965582977248,0.030175678303807074
b2906,5.993107119696076,0.19281291622592714,0.4391046757049248,Nonessential,Nonessential,0.7224263296202208,0.7377502457868297,-0.2986455700819049
b1918,5.9935008719113565,0.6790992889821262,0.8240748078797981,Nonessential,Nonessential,0.7224263296202208,0.737719352554275,0.08635545532552313
b1414,5.9956586728602,0.5218998017285439,0.7224263296202208,Nonessential,Nonessential,0.7224263296202208,0.7375504020058844,-0.0151240723856636
b1981,5.997661314031999,0.8346158596790224,0.9135731277128407,Nonessential,Nonessential,0.7224263296202208,0.7373941267408207,0.17617900097202
b0005,5.998024351909466,1.5705310728939803,1.2532083118516173,Nonessential,Nonessential,0.7681412612810551,0.7373658516116084,0.5158424602400089
b4148,5.999242470839151,1.1337421745836782,1.0647732972720898,Nonessential,Nonessential,0.7224263296202208,0.7372711007922507,0.32750219647983914
b3627,6.006176928661661,0.7161067856285823,0.8462309292554736,Nonessential,Nonessential,0.7681412612810551,0.7367353032412994,0.10949562601417417
b0892,6.007052943626974,0.25322340705034896,0.5032130831470392,Nonessential,Nonessential,0.7681412612810551,0.7366680538071806,-0.23345497066014143
b3052,6.007327093404963,0.690170607121802,0.8307650733641864,Nonessential,Essential,0.7681412612810551,0.7366470282149071,0.09411804514927924
b1902,6.010403118584464,1.3367497762386293,1.156178955109731,Nonessential,Nonessential,0.7681412612810551,0.7364117769037222,0.41976717820600884
b3590,6.0109696557866386,0.25093755070645357,0.5009366733494899,Nonessential,Nonessential,0.7797134512943348,0.7363685812285096,-0.2354319078790197
b2929,6.01109901742024,0.1080444473636545,0.3287011520570844,Nonessential,Nonessential,0.7797134512943348,0.7363587238292962,-0.40765757177221185
b2559,6.011357836338829,0.4421664979238811,0.6649560120217586,Nonessential,Nonessential,0.7681412612810551,0.7363390082053508,-0.07138299618359223
b0634,6.011937849784626,0.5053736701188715,0.7108963849386712,Essential,Essential,0.7224263296202208,0.736294856784072,-0.025398471845400783
b3352,6.012033554330008,0.2277908441345449,0.4772743908220353,Nonessential,Nonessential,0.7224263296202208,0.7362875757859352,-0.25901318496389986
b0425,6.0132114205140335,0.21057023094287253,0.4588793206746982,Nonessential,Nonessential,0.7224263296202208,0.7361980628905425,-0.27731874221584424
b3009,6.01331893910685,0.30809988402796024,0.5550674589885091,Nonessential,Nonessential,0.7108963849386712,0.7361899008383102,-0.18112244184980109
b4350,6.014758734617837,0.6110768598454408,0.7817140524804711,Nonessential,Nonessential,0.7224263296202208,0.7360807455384418,0.04563330694202927
b1814,6.018011176811279,1.9384967576470404,1.3922990905861572,Nonessential,Nonessential,0.7224263296202208,0.7358351551549047,0.6564639354312525
b3456,6.018202658509871,4.402878139686381,2.0983036338162266,Nonessential,Nonessential,0.7609529649836788,0.7358207392109526,1.362482894605274
