Bnb,Mean_log_gfp,SD_log_gfp,Mean_gfp,SD_gfp,Noise,PromoterEssentiality,TU_containing_EssentialGenes
b0323,0.319378,0.1675949,NA,NA,NA,nonessential,NA
b0325,0.429,0.1887857,2.9204119999999998,1.2809029999999999,-0.0036040899999999999,nonessential,NA
b0327,2.049,0.1626715,120.7829,52.115589999999997,0.018408069999999999,nonessential,NA
b0328,0.386,0.1822372,2.6664819999999998,1.1351500000000001,0.00022848080000000001,nonessential,NA
b0329,0.854,0.1924566,7.8173139999999997,3.2550880000000002,0.010406260000000001,nonessential,NA
b0330,0.811,0.2076519,7.2152719999999997,3.3602970000000001,0.024270300000000002,nonessential,NA
b0331,0.3114362,0.1667873,NA,NA,NA,nonessential,NA
b0332,0.555,0.2152951,4.0353019999999997,1.9407669999999999,0.020974070000000001,nonessential,NA
b0333,0.3327747,0.1715323,NA,NA,NA,nonessential,NA
b0336,1.865,0.24571490000000001,85.988960000000006,57.733440000000002,0.06353143,nonessential,NA
b0338,0.506,0.1955657,3.552292,1.565836,-0.0088167139999999998,nonessential,NA
b0339,0.3412868,0.1709768,NA,NA,NA,nonessential,NA
b0343,0.739,0.2114837,6.1806929999999998,2.8099470000000002,0.02014264,nonessential,NA
b0344,0.892,0.3049246,10.61144,7.450793,0.14189640000000001,nonessential,NA
b0345,1.60238,0.145934,42.079160000000002,12.971220000000001,0.0074442859999999996,nonessential,NA
b0346,1.067,0.1877993,12.66882,5.5085059999999997,0.02681739,nonessential,NA
b0355,0.3115385,0.1647632,NA,NA,NA,nonessential,NA
b0357,0.3277269,0.1692993,NA,NA,NA,nonessential,NA
b0359,0.712,0.2124842,5.7581619999999987,2.664946,0.018901560000000001,nonessential,NA
b0360,0.928,0.1859629,9.2089759999999998,3.7079140000000002,0.012861040000000001,nonessential,NA
b0363,0.805,0.2200727,7.2944500000000003,3.59815,0.038483799999999999,nonessential,NA
b0369,0.754,0.1940633,6.2122780000000004,2.6705869999999998,-0.00083477270000000003,essential,hemB
b0373,0.377,0.1805235,2.5971099999999998,1.108522,0.0031493390000000001,nonessential,NA
b0374,0.385,0.1818738,2.6519029999999999,1.126171,0.00082181840000000001,nonessential,NA
b0376,0.697,0.2016712,5.5326380000000004,2.3972169999999999,0.0032513400000000001,nonessential,NA
b0377,0.428,0.188131,2.916871,1.2455830000000001,-0.0055403429999999997,nonessential,NA
b0378,0.817,0.2036069,7.2479319999999996,3.172161,0.020065929999999999,nonessential,NA
b0379,0.636,0.205995,4.7972450000000002,2.1914709999999999,0.0044393899999999997,nonessential,NA
b0380,0.604,0.2013455,4.4536860000000003,1.9635940000000001,-0.0048338139999999996,nonessential,NA
b0381,0.964,0.1550571,9.7730360000000012,3.322835,-0.015432909999999999,nonessential,NA
b0382,0.958,0.1887009,9.9611820000000009,4.2797130000000001,0.019248910000000001,nonessential,NA
b0383,0.37,0.1762751,2.549509,1.053471,-0.005701523,nonessential,NA
b0384,0.583,0.1990138,4.25183,1.8902909999999999,-0.0084837999999999997,nonessential,NA
b0385,0.3428616,0.1727232,NA,NA,NA,nonessential,NA
b0388,1.672,0.1413975,49.607509999999998,17.276309999999999,0.0059491889999999997,nonessential,NA
b0389,0.719,0.2154655,5.8417490000000001,2.7121249999999999,0.023719199999999999,nonessential,NA
b0391,1.298,0.1376223,20.872890000000002,6.6185510000000001,-0.0052418539999999998,nonessential,NA
b0392,0.411,0.1913555,2.8393959999999998,1.2813540000000001,0.0092199919999999998,nonessential,NA
b0396,2.2,0.1167352,164.4922,44.995980000000003,-0.0027002490000000001,nonessential,NA
b0399,0.415,0.1887795,2.8357359999999998,1.2473590000000001,0.002442699,nonessential,NA
b0400,0.3040321,0.1613658,NA,NA,NA,nonessential,NA
b0401,1.439,0.1392357,28.67633,9.3126970000000036,-0.00019623390000000001,nonessential,NA
b0403,0.984,0.1995003,10.642530000000001,4.7595900000000002,0.032871360000000002,nonessential,NA
b0404,0.585,0.2026459,4.2840049999999996,1.9300520000000001,-0.0016414069999999999,nonessential,NA
b0406,0.63,0.1936699,4.6944350000000004,1.959692,-0.01488388,nonessential,NA
b0407,0.922,0.1518054,8.8776350000000033,2.9707460000000001,-0.024709789999999999,nonessential,NA
b0412,1.063,0.1494258,12.20679,4.1779799999999998,-0.010109780000000001,nonessential,NA
b0413,0.957,0.1645206,9.7697350000000007,3.7071179999999999,-0.0059288429999999996,essential,nrdR-ribDE-nusB-thiL-pgpA
b0415,1.052,0.1366589,11.783340000000001,3.6588850000000002,-0.022584759999999999,essential,nrdR-ribDE-nusB-thiL-pgpA;ribE-nusB-thiL-pgpA
b0417,0.3282757,0.177849,NA,NA,NA,essential,nrdR-ribDE-nusB-thiL-pgpA;ribE-nusB-thiL-pgpA
b0419,0.988,0.2091022,11.02251,5.4580520000000003,0.042287529999999997,nonessential,NA
b0422,0.3338903,0.1728976,NA,NA,NA,essential,xseB-ispA-dxs-yajO
b0423,0.627,0.1928701,4.6474169999999999,1.9485889999999999,-0.016693400000000001,nonessential,NA
b0425,0.3230106,0.1650462,NA,NA,NA,nonessential,NA
b0427,0.735,0.1878285,5.93309,2.319896,-0.01155804,nonessential,NA
b0432,1.613,0.1425695,43.398240000000001,15.10791,0.0063076419999999996,nonessential,NA
b0434,1.783933,0.1900225,65.077309999999997,20.509650000000001,0.033607280000000003,nonessential,NA
b0435,1.217,0.1714859,17.670190000000002,7.0665529999999999,0.018338159999999999,nonessential,NA
b0436,1.618,0.1125527,42.857019999999999,11.12415,-0.01215246,nonessential,NA
b0437,1.492,0.1301829,32.456510000000002,9.7088900000000002,-0.0048595319999999997,nonessential,NA
b0438,1.312,0.1752779,22.44613,9.6881710000000005,0.02346461,nonessential,NA
b0439,1.395,0.1173355,25.842110000000002,6.9549830000000004,-0.017171530000000001,nonessential,NA
b0440,2.063,0.09383044,118.1557,25.975770000000001,-0.015069010000000001,nonessential,NA
b0441,1.398,0.1561208,26.79748,10.53524,0.010843999999999999,nonessential,NA
b0442,0.403,0.1880493,2.7950370000000002,1.2348539999999999,0.0059560109999999998,nonessential,NA
b0445,0.408,0.1888345,2.8315329999999999,1.2546580000000001,0.0058435819999999999,nonessential,NA
b0447,0.602,0.2129341,4.4747969999999997,2.167027,0.015052289999999999,nonessential,NA
b0450,0.3425864,0.1911911,NA,NA,NA,nonessential,NA
b0452,1.056,0.1735563,12.311109999999999,5.1856790000000004,0.012890540000000001,nonessential,NA
b0453,0.692,0.1985818,5.4724019999999998,2.3162210000000001,-0.0015948500000000001,nonessential,NA
b0456,0.446,0.1940203,3.089931,1.3882369999999999,0.0014938060000000001,nonessential,NA
b0457,1.017,0.1843809,11.35885,4.8082719999999997,0.019494339999999999,nonessential,NA
b0458,1.478,0.1508992,31.909210000000002,11.44445,0.0089383540000000008,nonessential,NA
b0467,0.714,0.1995894,5.6795400000000003,2.4389850000000002,0.0022769510000000001,nonessential,NA
b0468,0.971,0.1458303,9.8312870000000014,3.1470180000000001,-0.023779809999999998,nonessential,NA
b0469,1.443,0.1210867,28.649319999999999,8.0176750000000006,-0.01256409,nonessential,NA
b0470,1.229,0.1314581,17.787289999999999,5.6851599999999998,-0.01386886,essential,dnaX
b0471,0.37,0.1796,2.5531929999999998,1.082867,0.005109288,nonessential,NA
b0473,1.204,0.1296488,16.607849999999999,4.9806549999999996,-0.016116490000000001,nonessential,NA
b0474,0.488,0.1985381,3.4345750000000002,1.5387759999999999,0.00050357199999999998,essential,adk
b0475,0.799,0.1893039,6.9023250000000003,2.9178069999999998,-0.00089708979999999995,essential,hemH
b0476,0.427,0.1887858,2.9279679999999999,1.285534,-0.0027989680000000002,nonessential,NA
