TU,Prom_TU,Genes_TU,Bnb_TU,ECKnb_TU,Ess_ECKnb_TU,Ess_Gene_TU,Bnb_Promlib,Gene_Promlib
grpE,grpEp,grpE,b2614,ECK2610,ECK2610,grpE,b2614,grpE
gyrB,gyrBp,gyrB,b3699,ECK3691,ECK3691,gyrB,b3699,gyrB
gyrB,gyrBp2,gyrB,b3699,ECK3691,ECK3691,gyrB,b3699,gyrB
hemA,hemAp2,hemA,b1210,ECK1198,ECK1198,hemA,b1210,hemA
hemA-prfA-prmC,hemAp1,prmC;prfA;hemA,b1212;b1211;b1210,ECK1200;ECK1199;ECK1198,ECK1200;ECK1199;ECK1198,hemA;prfA;prmC,b1210,hemA
hemB,hemBp,hemB,b0369,ECK0366,ECK0366,hemB,b0369,hemB
hemCDXY,NA,hemY;hemX;hemD;hemC,b3802;b3803;b3804;b3805,ECK3796;ECK3797;ECK3798;ECK3799,ECK3798;ECK3799,hemC;hemD,b3805,hemC
hemH,hemHp,hemH,b0475,ECK0469,ECK0469,hemH,b0475,hemH
hemL,hemLp1,hemL,b0154,ECK0153,ECK0153,hemL,b0154,hemL
hemL,hemLp2,hemL,b0154,ECK0153,ECK0153,hemL,b0154,hemL
hemL,hemLp,hemL,b0154,ECK0153,ECK0153,hemL,b0154,hemL
hisS,hisSp,hisS,b2514,ECK2510,ECK2510,hisS,b2514,hisS
hlpA-lpxD-fabZ-lpxA,hlpAp,lpxA;fabZ;lpxD;skp,b0181;b0180;b0179;b0178,ECK0180;ECK0179;ECK0178;ECK0177,ECK0180;ECK0179;ECK0178,fabZ;lpxA;lpxD,b0180;b0178,fabZ;skp
htrG-cca,ygiMp2,cca;ygiM,b3056;b3055,ECK3046;ECK3045,ECK3046,cca,b3056;b3055,ygiM;cca
ibaG-murA,ibaGp1,murA;ibaG,b3189;b3190,ECK3178;ECK3179,ECK3178,murA,b3189;b3190,murA;ibaG
igaA,NA,igaA,b3398,ECK3385,ECK3385,igaA,b3398,igaA
ileS-lspA-fkpB-ispH,ileSp2,ispH;fkpB;lspA;ileS,b0029;b0028;b0027;b0026,ECK0030;ECK0029;ECK0028;ECK0027,ECK0030;ECK0028,lspA;ispH,b0028,fkpB
ileS-lspA-fkpB-ispH,ileSp3,ispH;fkpB;lspA;ileS,b0029;b0028;b0027;b0026,ECK0030;ECK0029;ECK0028;ECK0027,ECK0030;ECK0028,lspA;ispH,b0028,fkpB
ileS-lspA-fkpB-ispH,ileSp1,ispH;fkpB;lspA;ileS,b0029;b0028;b0027;b0026,ECK0030;ECK0029;ECK0028;ECK0027,ECK0030;ECK0028,lspA;ispH,b0028,fkpB
