hours_grown1,hours_grown2,gene_downstream,fl_mean_log1,fl_mean_log2,fl_var_log1,fl_var_log2,cor_mean,cor_var
0h,1h,ydjA,7.554831097,7.640329147,0.180822697,0.139554294,0.998710269,0.978320822
0h,2h,ydjA,7.554831097,7.704561856,0.180822697,0.120644885,0.994700418,0.934124539
0h,3h,ydjA,7.554831097,7.679704973,0.180822697,0.118678509,0.991973013,0.914567858
0h,5h,ydjA,7.554831097,7.641758523,0.180822697,0.123999214,0.988534391,0.900022899
0h,6.5h,ydjA,7.554831097,7.63476231,0.180822697,0.137603486,0.985763124,0.905858719
0h,8.5h,ydjA,7.554831097,7.6777196,0.180822697,0.131867151,0.983992857,0.887850084
0h,10h,ydjA,7.554831097,7.65824059,0.180822697,0.121043523,0.984507283,0.862891515
0h,11h,ydjA,7.554831097,7.5837005,0.180822697,0.142843589,0.984816255,0.887479151
0h,1h,yebG,7.443710835,7.423421956,0.213790051,0.19863548,0.998710269,0.978320822
0h,2h,yebG,7.443710835,7.479647292,0.213790051,0.165982034,0.994700418,0.934124539
0h,3h,yebG,7.443710835,7.430181177,0.213790051,0.160282529,0.991973013,0.914567858
0h,5h,yebG,7.443710835,7.354771675,0.213790051,0.172780681,0.988534391,0.900022899
0h,6.5h,yebG,7.443710835,7.371646594,0.213790051,0.176212753,0.985763124,0.905858719
0h,8.5h,yebG,7.443710835,7.392065437,0.213790051,0.169705119,0.983992857,0.887850084
0h,10h,yebG,7.443710835,7.35178917,0.213790051,0.172376494,0.984507283,0.862891515
0h,11h,yebG,7.443710835,7.31721301,0.213790051,0.174123681,0.984816255,0.887479151
0h,1h,yfiE,7.720132766,7.712830912,0.162816556,0.156016993,0.998710269,0.978320822
0h,2h,yfiE,7.720132766,7.757798729,0.162816556,0.146504827,0.994700418,0.934124539
0h,3h,yfiE,7.720132766,7.664346716,0.162816556,0.146424977,0.991973013,0.914567858
0h,5h,yfiE,7.720132766,7.599417527,0.162816556,0.149191826,0.988534391,0.900022899
0h,6.5h,yfiE,7.720132766,7.595392505,0.162816556,0.154930862,0.985763124,0.905858719
0h,8.5h,yfiE,7.720132766,7.633944792,0.162816556,0.146399181,0.983992857,0.887850084
0h,10h,yfiE,7.720132766,7.59183104,0.162816556,0.145422631,0.984507283,0.862891515
0h,11h,yfiE,7.720132766,7.560386605,0.162816556,0.161019822,0.984816255,0.887479151
0h,1h,ygbA,6.008114778,5.982042555,0.24823388,0.246057423,0.998710269,0.978320822
0h,2h,ygbA,6.008114778,6.029028952,0.24823388,0.24906278,0.994700418,0.934124539
0h,3h,ygbA,6.008114778,6.023294536,0.24823388,0.260177293,0.991973013,0.914567858
0h,5h,ygbA,6.008114778,6.026385153,0.24823388,0.246644794,0.988534391,0.900022899
0h,6.5h,ygbA,6.008114778,6.029143238,0.24823388,0.237604736,0.985763124,0.905858719
0h,8.5h,ygbA,6.008114778,6.016573864,0.24823388,0.261796757,0.983992857,0.887850084
0h,10h,ygbA,6.008114778,5.892521732,0.24823388,0.288568872,0.984507283,0.862891515
0h,11h,ygbA,6.008114778,5.902462313,0.24823388,0.29301895,0.984816255,0.887479151
0h,1h,nudH,8.291853911,8.24720046,0.107494037,0.106163109,0.998710269,0.978320822
0h,2h,nudH,8.291853911,8.248228231,0.107494037,0.087014892,0.994700418,0.934124539
0h,3h,nudH,8.291853911,8.155083525,0.107494037,0.083145737,0.991973013,0.914567858
0h,5h,nudH,8.291853911,8.104560889,0.107494037,0.084953827,0.988534391,0.900022899
0h,6.5h,nudH,8.291853911,8.101467731,0.107494037,0.088383429,0.985763124,0.905858719
0h,8.5h,nudH,8.291853911,8.097848729,0.107494037,0.086432408,0.983992857,0.887850084
0h,10h,nudH,8.291853911,8.004940341,0.107494037,0.089858257,0.984507283,0.862891515
0h,11h,nudH,8.291853911,7.956110877,0.107494037,0.095667543,0.984816255,0.887479151
0h,1h,yggH,8.061308402,8.052260377,0.114972309,0.100042537,0.998710269,0.978320822
0h,2h,yggH,8.061308402,8.083168357,0.114972309,0.084075,0.994700418,0.934124539
0h,3h,yggH,8.061308402,8.017465964,0.114972309,0.080741893,0.991973013,0.914567858
0h,5h,yggH,8.061308402,7.923763978,0.114972309,0.088710692,0.988534391,0.900022899
0h,6.5h,yggH,8.061308402,7.889540424,0.114972309,0.089433075,0.985763124,0.905858719
0h,8.5h,yggH,8.061308402,7.882138977,0.114972309,0.089792775,0.983992857,0.887850084
0h,10h,yggH,8.061308402,7.81215271,0.114972309,0.097831019,0.984507283,0.862891515
0h,11h,yggH,8.061308402,7.768654822,0.114972309,0.098438385,0.984816255,0.887479151
0h,1h,mug,8.282830181,8.209638459,0.11360186,0.112533446,0.998710269,0.978320822
0h,2h,mug,8.282830181,8.262089032,0.11360186,0.096606678,0.994700418,0.934124539
0h,3h,mug,8.282830181,8.20053245,0.11360186,0.099782751,0.991973013,0.914567858
0h,5h,mug,8.282830181,8.266496768,0.11360186,0.096861838,0.988534391,0.900022899
0h,6.5h,mug,8.282830181,8.297475803,0.11360186,0.104460883,0.985763124,0.905858719
0h,8.5h,mug,8.282830181,8.286491023,0.11360186,0.108723459,0.983992857,0.887850084
0h,10h,mug,8.282830181,8.212158565,0.11360186,0.112017522,0.984507283,0.862891515
0h,11h,mug,8.282830181,8.147858956,0.11360186,0.12145801,0.984816255,0.887479151
0h,1h,yneK,7.031932444,6.987112039,0.221862593,0.212248063,0.998710269,0.978320822
0h,2h,yneK,7.031932444,7.025650177,0.221862593,0.190375617,0.994700418,0.934124539
0h,3h,yneK,7.031932444,6.93914215,0.221862593,0.203318394,0.991973013,0.914567858
0h,5h,yneK,7.031932444,6.880807178,0.221862593,0.209766126,0.988534391,0.900022899
0h,6.5h,yneK,7.031932444,6.873994583,0.221862593,0.20706063,0.985763124,0.905858719
0h,8.5h,yneK,7.031932444,6.86986872,0.221862593,0.207398552,0.983992857,0.887850084
0h,10h,yneK,7.031932444,6.7872206,0.221862593,0.233114057,0.984507283,0.862891515
0h,11h,yneK,7.031932444,6.767563248,0.221862593,0.226431886,0.984816255,0.887479151
0h,1h,rob,9.481998321,9.404294278,0.093173216,0.092640904,0.998710269,0.978320822
0h,2h,rob,9.481998321,9.445510046,0.093173216,0.101342483,0.994700418,0.934124539
0h,3h,rob,9.481998321,9.385414305,0.093173216,0.08910055,0.991973013,0.914567858
0h,5h,rob,9.481998321,9.386598793,0.093173216,0.084257454,0.988534391,0.900022899
0h,6.5h,rob,9.481998321,9.411696518,0.093173216,0.099707352,0.985763124,0.905858719
0h,8.5h,rob,9.481998321,9.412107025,0.093173216,0.105450722,0.983992857,0.887850084
0h,10h,rob,9.481998321,9.340442233,0.093173216,0.105522919,0.984507283,0.862891515
0h,11h,rob,9.481998321,9.303827635,0.093173216,0.109268647,0.984816255,0.887479151
0h,1h,sulA,6.407625329,6.407300732,0.285595881,0.272164878,0.998710269,0.978320822
0h,2h,sulA,6.407625329,6.468668511,0.285595881,0.251989709,0.994700418,0.934124539
0h,3h,sulA,6.407625329,6.424207214,0.285595881,0.261759692,0.991973013,0.914567858
0h,5h,sulA,6.407625329,6.368330958,0.285595881,0.256704275,0.988534391,0.900022899
0h,6.5h,sulA,6.407625329,6.409375805,0.285595881,0.254562336,0.985763124,0.905858719
0h,8.5h,sulA,6.407625329,6.36597201,0.285595881,0.279621142,0.983992857,0.887850084
0h,10h,sulA,6.407625329,6.28693329,0.285595881,0.290147395,0.984507283,0.862891515
0h,11h,sulA,6.407625329,6.29016615,0.285595881,0.290493096,0.984816255,0.887479151
0h,1h,fur,8.09814075,8.16245033,0.117677987,0.102153538,0.998710269,0.978320822
0h,2h,fur,8.09814075,8.181364912,0.117677987,0.084212562,0.994700418,0.934124539
0h,3h,fur,8.09814075,8.126899161,0.117677987,0.089775532,0.991973013,0.914567858
0h,5h,fur,8.09814075,8.09611036,0.117677987,0.096004618,0.988534391,0.900022899
0h,6.5h,fur,8.09814075,8.175845443,0.117677987,0.09391264,0.985763124,0.905858719
0h,8.5h,fur,8.09814075,8.180371049,0.117677987,0.10105492,0.983992857,0.887850084
0h,10h,fur,8.09814075,8.15315071,0.117677987,0.097300466,0.984507283,0.862891515
0h,11h,fur,8.09814075,8.129670548,0.117677987,0.099334366,0.984816255,0.887479151
0h,1h,soxR,6.560197232,6.501677239,0.289798086,0.28443035,0.998710269,0.978320822
0h,2h,soxR,6.560197232,6.589157318,0.289798086,0.270135493,0.994700418,0.934124539
0h,3h,soxR,6.560197232,6.570670638,0.289798086,0.25363955,0.991973013,0.914567858
0h,5h,soxR,6.560197232,6.55612989,0.289798086,0.26343984,0.988534391,0.900022899
0h,6.5h,soxR,6.560197232,6.552779251,0.289798086,0.262743285,0.985763124,0.905858719
0h,8.5h,soxR,6.560197232,6.577776294,0.289798086,0.273790654,0.983992857,0.887850084
0h,10h,soxR,6.560197232,6.498647956,0.289798086,0.289878311,0.984507283,0.862891515
0h,11h,soxR,6.560197232,6.478763446,0.289798086,0.286254636,0.984816255,0.887479151
0h,1h,serA,10.11968364,10.13463689,0.072482882,0.061840726,0.998710269,0.978320822
0h,2h,serA,10.11968364,10.21764193,0.072482882,0.050936197,0.994700418,0.934124539
0h,3h,serA,10.11968364,10.22335279,0.072482882,0.050437507,0.991973013,0.914567858
0h,5h,serA,10.11968364,10.30978899,0.072482882,0.052020563,0.988534391,0.900022899
0h,6.5h,serA,10.11968364,10.36276174,0.072482882,0.051381189,0.985763124,0.905858719
0h,8.5h,serA,10.11968364,10.39145499,0.072482882,0.055137755,0.983992857,0.887850084
0h,10h,serA,10.11968364,10.34018226,0.072482882,0.05123425,0.984507283,0.862891515
0h,11h,serA,10.11968364,10.300452,0.072482882,0.055581248,0.984816255,0.887479151
0h,1h,secE,9.006385193,9.103079554,0.056131709,0.053145758,0.998710269,0.978320822
0h,2h,secE,9.006385193,9.261247519,0.056131709,0.060961946,0.994700418,0.934124539
0h,3h,secE,9.006385193,9.194908821,0.056131709,0.054347342,0.991973013,0.914567858
0h,5h,secE,9.006385193,9.060448086,0.056131709,0.058289654,0.988534391,0.900022899
0h,6.5h,secE,9.006385193,8.998676428,0.056131709,0.057545257,0.985763124,0.905858719
0h,8.5h,secE,9.006385193,8.990163091,0.056131709,0.060350162,0.983992857,0.887850084
0h,10h,secE,9.006385193,8.916516118,0.056131709,0.060736111,0.984507283,0.862891515
0h,11h,secE,9.006385193,8.879995869,0.056131709,0.063204286,0.984816255,0.887479151
0h,1h,ybhM,5.877812454,5.88028851,0.213583348,0.209900204,0.998710269,0.978320822
0h,2h,ybhM,5.877812454,5.8840097,0.213583348,0.21663415,0.994700418,0.934124539
0h,3h,ybhM,5.877812454,5.894950207,0.213583348,0.211925702,0.991973013,0.914567858
0h,5h,ybhM,5.877812454,5.897773649,0.213583348,0.208235436,0.988534391,0.900022899
0h,6.5h,ybhM,5.877812454,5.932336635,0.213583348,0.199056712,0.985763124,0.905858719
0h,8.5h,ybhM,5.877812454,5.879083274,0.213583348,0.20274704,0.983992857,0.887850084
0h,10h,ybhM,5.877812454,5.788322692,0.213583348,0.248509795,0.984507283,0.862891515
0h,11h,ybhM,5.877812454,5.7973222,0.213583348,0.241119136,0.984816255,0.887479151
0h,1h,ybjO,6.259673756,6.317563513,0.24219446,0.254717613,0.998710269,0.978320822
0h,2h,ybjO,6.259673756,6.615182004,0.24219446,0.244053709,0.994700418,0.934124539
0h,3h,ybjO,6.259673756,6.622111728,0.24219446,0.227782034,0.991973013,0.914567858
0h,5h,ybjO,6.259673756,6.608925739,0.24219446,0.233101545,0.988534391,0.900022899
0h,6.5h,ybjO,6.259673756,6.631823746,0.24219446,0.235205002,0.985763124,0.905858719
0h,8.5h,ybjO,6.259673756,6.588299275,0.24219446,0.232663658,0.983992857,0.887850084
0h,10h,ybjO,6.259673756,6.47757792,0.24219446,0.254809705,0.984507283,0.862891515
0h,11h,ybjO,6.259673756,6.460197539,0.24219446,0.249744342,0.984816255,0.887479151
0h,1h,ycaL,5.954631663,5.967735821,0.245480002,0.222596079,0.998710269,0.978320822
0h,2h,ycaL,5.954631663,5.989281649,0.245480002,0.233878414,0.994700418,0.934124539
0h,3h,ycaL,5.954631663,5.980744811,0.245480002,0.225712543,0.991973013,0.914567858
0h,5h,ycaL,5.954631663,5.997523652,0.245480002,0.207323692,0.988534391,0.900022899
0h,6.5h,ycaL,5.954631663,6.049404666,0.245480002,0.198156175,0.985763124,0.905858719
0h,8.5h,ycaL,5.954631663,5.999140502,0.245480002,0.214529164,0.983992857,0.887850084
0h,10h,ycaL,5.954631663,5.89972717,0.245480002,0.249820232,0.984507283,0.862891515
0h,11h,ycaL,5.954631663,5.933210477,0.245480002,0.244633053,0.984816255,0.887479151
0h,1h,ycaI,5.897203924,5.880054007,0.266047024,0.251000854,0.998710269,0.978320822
0h,2h,ycaI,5.897203924,5.911709688,0.266047024,0.248486772,0.994700418,0.934124539
0h,3h,ycaI,5.897203924,5.896372906,0.266047024,0.229153816,0.991973013,0.914567858
0h,5h,ycaI,5.897203924,5.912774156,0.266047024,0.22338444,0.988534391,0.900022899
0h,6.5h,ycaI,5.897203924,5.952367044,0.266047024,0.213991085,0.985763124,0.905858719
0h,8.5h,ycaI,5.897203924,5.892856052,0.266047024,0.225325912,0.983992857,0.887850084
0h,10h,ycaI,5.897203924,5.784519351,0.266047024,0.264147906,0.984507283,0.862891515
0h,11h,ycaI,5.897203924,5.80881532,0.266047024,0.252867153,0.984816255,0.887479151
0h,1h,ycbK,10.0983545,10.25356458,0.066935247,0.069121559,0.998710269,0.978320822
0h,2h,ycbK,10.0983545,10.39336332,0.066935247,0.064568852,0.994700418,0.934124539
0h,3h,ycbK,10.0983545,10.29437846,0.066935247,0.055469261,0.991973013,0.914567858
0h,5h,ycbK,10.0983545,10.15649926,0.066935247,0.05104171,0.988534391,0.900022899
0h,6.5h,ycbK,10.0983545,10.10992674,0.066935247,0.050587864,0.985763124,0.905858719
0h,8.5h,ycbK,10.0983545,10.10247505,0.066935247,0.051769944,0.983992857,0.887850084
0h,10h,ycbK,10.0983545,10.00235511,0.066935247,0.049445204,0.984507283,0.862891515
0h,11h,ycbK,10.0983545,9.960352116,0.066935247,0.054011455,0.984816255,0.887479151
0h,1h,U139,5.829895252,5.805955654,0.233563838,0.240565931,0.998710269,0.978320822
0h,2h,U139,5.829895252,5.785929464,0.233563838,0.238411256,0.994700418,0.934124539
0h,3h,U139,5.829895252,5.794964809,0.233563838,0.22724459,0.991973013,0.914567858
0h,5h,U139,5.829895252,5.831976562,0.233563838,0.227111868,0.988534391,0.900022899
0h,6.5h,U139,5.829895252,5.846350963,0.233563838,0.212107916,0.985763124,0.905858719
0h,8.5h,U139,5.829895252,5.785135928,0.233563838,0.247882378,0.983992857,0.887850084
0h,10h,U139,5.829895252,5.697612179,0.233563838,0.266054584,0.984507283,0.862891515
0h,11h,U139,5.829895252,5.719914778,0.233563838,0.242740384,0.984816255,0.887479151
